"","year","region","cons_or_not","averagevoteshare"
"358",2008,"Jeju","0",49.3439215862429
"359",2008,"Jeju","1",39.9598269671543
"360",2008,"Jeju","2",32.0887543398085
"361",2008,"Jeonbuk","0",60.9408755611878
"362",2008,"Jeonbuk","1",8.33822699057644
"363",2008,"Jeonbuk","2",37.5477635478437
"364",2008,"Jeonnam","0",71.7501057152906
"365",2008,"Jeonnam","1",6.72075044921908
"366",2008,"Jeonnam","2",36.9071037179834
"367",2008,"Seoul","0",41.8471502013182
"368",2008,"Seoul","1",55.7511646493085
"369",2008,"Seoul","2",10.4800806518109
"370",2008,"Ulsan","0",28.7454111845388
"371",2008,"Ulsan","1",59.5007279195869
"372",2008,"Ulsan","2",35.261582687623
"373",2009,"Chungbuk","0",45.1360352375581
"374",2009,"Chungbuk","1",34.7514301829023
"375",2009,"Chungbuk","2",20.1125345795397
"376",2009,"Gangwon","1",54.7248122058866
"377",2009,"Gangwon","2",45.2751877941134
"378",2009,"Gyeongbuk","0",2.12220481412904
"379",2009,"Gyeongbuk","1",40.2969662441248
"380",2009,"Gyeongbuk","2",57.5808289417462
"381",2009,"Gyeonggi","0",48.7906648100879
"382",2009,"Gyeonggi","1",39.5862480728495
"383",2009,"Gyeonggi","2",11.6230871170626
"384",2009,"Gyeongnam","0",37.5660917049493
"385",2009,"Gyeongnam","1",38.1394024195446
"386",2009,"Gyeongnam","2",24.2945058755061
"387",2009,"Incheon","0",55.143614099706
"388",2009,"Incheon","1",39.0924364317793
"389",2009,"Incheon","2",5.76394946851475
"390",2009,"Jeonbuk","0",25.6527962531126
"391",2009,"Jeonbuk","1",8.07094839027613
"392",2009,"Jeonbuk","2",66.2762553566113
"393",2009,"Ulsan","0",49.2088453996544
"394",2009,"Ulsan","1",41.3788417108354
"395",2009,"Ulsan","2",9.41231288951016
"396",2010,"Chungbuk","0",36.348558680209
"397",2010,"Chungbuk","1",63.651441319791
"398",2010,"Chungnam","0",38.8359965109589
"399",2010,"Chungnam","1",61.1640034890411
"400",2010,"Gangwon","0",46.7809662126533
"401",2010,"Gangwon","1",39.8442101076393
"402",2010,"Gangwon","2",20.0622355195611
"403",2010,"Gwangju","0",100
"404",2010,"Incheon","0",50.4649169084674
"405",2010,"Incheon","1",47.6259562120812
"406",2010,"Incheon","2",1.90912687945133
"407",2010,"Seoul","0",40.5752650518028
"408",2010,"Seoul","1",59.4247349481972
"409",2011,"Gyeonggi","0",51.0036317235964
"410",2011,"Gyeonggi","1",48.3191009030232
"411",2011,"Gyeonggi","2",0.677267373380448
"412",2011,"Gyeongnam","0",48.9837095461372
"413",2011,"Gyeongnam","1",51.0162904538628
"414",2011,"Jeonnam","0",36.2413619951699
"415",2011,"Jeonnam","2",63.7586380048301
"416",2012,"Busan","0",39.8656857936818
"417",2012,"Busan","1",49.839441825179
"418",2012,"Busan","2",15.4423085717089
"419",2012,"Chungbuk","0",42.0579345135299
"420",2012,"Chungbuk","1",53.3922019871642
"421",2012,"Chungbuk","2",12.1329693314824
"422",2012,"Chungnam","0",34.0744244091447
"423",2012,"Chungnam","1",64.7288029040461
"424",2012,"Chungnam","2",5.98386343404601
"425",2012,"Daegu","0",21.0918852865032
"426",2012,"Daegu","1",62.4708759264545
"427",2012,"Daegu","2",17.931533222228
"428",2012,"Daejeon","0",41.0647055634862
"429",2012,"Daejeon","1",58.1408576236286
"430",2012,"Daejeon","2",2.38331043865559
"431",2012,"Gangwon","0",38.186435214325
"432",2012,"Gangwon","1",53.7682309102487
"433",2012,"Gangwon","2",18.1020012197092
"434",2012,"Gwangju","0",68.0858325565987
"435",2012,"Gwangju","1",14.4623071888924
"436",2012,"Gwangju","2",30.2752025686476
"437",2012,"Gyeongbuk","0",14.2184887231802
"438",2012,"Gyeongbuk","1",62.7901761340757
"439",2012,"Gyeongbuk","2",28.7391689284301
"440",2012,"Gyeonggi","0",49.3699241221186
"441",2012,"Gyeonggi","1",46.3495250525101
"442",2012,"Gyeonggi","2",8.49870522004459
"443",2012,"Gyeongnam","0",33.5420581567218
"444",2012,"Gyeongnam","1",51.8813321265836
"445",2012,"Gyeongnam","2",27.3008974345962
"446",2012,"Incheon","0",48.5015755414762
"447",2012,"Incheon","1",49.0102720908789
"448",2012,"Incheon","2",5.97156568234786
"449",2012,"Jeju","0",54.177267947441
"450",2012,"Jeju","1",29.4190051705638
"451",2012,"Jeju","2",24.6055903229928
"452",2012,"Jeonbuk","0",61.8360809755423
"453",2012,"Jeonbuk","1",10.761826180852
"454",2012,"Jeonbuk","2",33.3708499822218
"455",2012,"Jeonnam","0",71.1162685508816
"456",2012,"Jeonnam","1",5.28154295975379
"457",2012,"Jeonnam","2",30.6076335846968
"458",2012,"Sejong","0",47.8802131653326
"459",2012,"Sejong","1",47.755075621912
"460",2012,"Sejong","2",4.3647112127554
"461",2012,"Seoul","0",50.2386405642758
"462",2012,"Seoul","1",45.5448010337343
"463",2012,"Seoul","2",10.652358068185
"464",2012,"Ulsan","0",40.5573534157392
"465",2012,"Ulsan","1",54.8156075132033
"466",2012,"Ulsan","2",6.94055860658627
"467",2013,"Busan","0",34.2721571022527
"468",2013,"Busan","1",65.7278428977473
"469",2013,"Chungnam","0",22.5989132930282
"470",2013,"Chungnam","1",77.4010867069718
"471",2013,"Gyeongbuk","0",21.4320967343917
"472",2013,"Gyeongbuk","1",78.5679032656083
"473",2013,"Gyeonggi","0",37.3367108726966
"474",2013,"Gyeonggi","1",62.6632891273034
"475",2013,"Seoul","0",6.51652206018091
"476",2013,"Seoul","1",32.7885147896224
"477",2013,"Seoul","2",60.6949631501967
"478",2014,"Busan","0",34.3979864939116
"479",2014,"Busan","1",65.6020135060884
"480",2014,"Chungbuk","0",35.9176419903784
"481",2014,"Chungbuk","1",64.0823580096216
"482",2014,"Chungnam","0",37.7676822543743
"483",2014,"Chungnam","1",49.6650371175086
"484",2014,"Chungnam","2",12.5672806281171
"485",2014,"Daejeon","0",42.5894636924537
"486",2014,"Daejeon","1",57.4105363075463
"487",2014,"Gwangju","0",90.7640803465932
"488",2014,"Gwangju","1",6.98812805941597
"489",2014,"Gwangju","2",2.24779159399088
"490",2014,"Gyeonggi","0",46.1944379788326
"491",2014,"Gyeonggi","1",51.9479106234298
"492",2014,"Gyeonggi","2",3.09608566289601
"493",2014,"Jeonnam","0",63.3384671880924
"494",2014,"Jeonnam","1",30.1152630215994
"495",2014,"Jeonnam","2",9.81940468546241
"496",2014,"Seoul","0",50.0957417707668
"497",2014,"Seoul","1",49.9042582292332
"498",2014,"Ulsan","1",55.8100634021314
"499",2014,"Ulsan","2",44.1899365978686
"500",2015,"Gwangju","0",36.5516966227134
"501",2015,"Gwangju","1",11.0714356959046
"502",2015,"Gwangju","2",52.376867681382
"503",2015,"Gyeonggi","0",35.628697102988
"504",2015,"Gyeonggi","1",55.9062642196269
"505",2015,"Gyeonggi","2",8.46503867738511
"506",2015,"Incheon","0",45.889129338258
"507",2015,"Incheon","1",54.110870661742
"508",2015,"Seoul","0",34.2962905438637
"509",2015,"Seoul","1",43.8935052160182
"510",2015,"Seoul","2",21.810204240118
"511",2016,"Busan","0",45.139817093202
"512",2016,"Busan","1",48.1419995978748
"513",2016,"Busan","2",12.0927299560618
"514",2016,"Chungbuk","0",49.7567814306656
"515",2016,"Chungbuk","1",48.941346218712
"516",2016,"Chungbuk","2",5.20748940248947
"517",2016,"Chungnam","0",53.2502765519391
"518",2016,"Chungnam","1",41.5685414195053
"519",2016,"Chungnam","2",14.2482505785281
"520",2016,"Daegu","0",24.9700329374678
"521",2016,"Daegu","1",53.8426596246851
"522",2016,"Daegu","2",39.7811571948651
"523",2016,"Daejeon","0",61.1884012253376
"524",2016,"Daejeon","1",37.95741206693
"525",2016,"Daejeon","2",1.99310231804209
"526",2016,"Gangwon","0",39.4089556069339
"527",2016,"Gangwon","1",47.7592750450295
"528",2016,"Gangwon","2",34.2180515947644
"529",2016,"Gwangju","0",95.1374704261096
"530",2016,"Gwangju","1",2.61209086230077
"531",2016,"Gwangju","2",4.12312011100358
"532",2016,"Gyeongbuk","0",22.5362800384881
"533",2016,"Gyeongbuk","1",61.5674941049472
"534",2016,"Gyeongbuk","2",37.0995070361618
"535",2016,"Gyeonggi","0",59.3180096411189
"536",2016,"Gyeonggi","1",39.5620977130217
"537",2016,"Gyeonggi","2",7.46595097239602
"538",2016,"Gyeongnam","0",40.5692153904758
"539",2016,"Gyeongnam","1",49.1554278308313
"540",2016,"Gyeongnam","2",17.1255946311548
"541",2016,"Incheon","0",57.7842042597851
"542",2016,"Incheon","1",35.4996124966978
"543",2016,"Incheon","2",21.8275955414308
"544",2016,"Jeju","0",57.8908974166638
"545",2016,"Jeju","1",42.1091025833362
"546",2016,"Jeonbuk","0",83.1261658406848
"547",2016,"Jeonbuk","1",10.3566649046444
"548",2016,"Jeonbuk","2",9.44104468141908
"549",2016,"Jeonnam","0",87.301723178326
"550",2016,"Jeonnam","1",9.47236242798142
"551",2016,"Jeonnam","2",6.45182878738527
"552",2016,"Sejong","0",20.2311755684723
"553",2016,"Sejong","1",36.0452127156029
"554",2016,"Sejong","2",43.7236117159248
"555",2016,"Seoul","0",60.3145651719834
"556",2016,"Seoul","1",38.7389598715091
"557",2016,"Seoul","2",8.25701284079264
"558",2016,"Ulsan","0",29.4339795280933
"559",2016,"Ulsan","1",38.6154894084422
"560",2016,"Ulsan","2",44.2274331817761
